# EDISCSID                    RA        Dec         V1     R1     I1     V2     R2     I2     V3    R3    I3    OBJFLAG1?   OBJFLAG2?   CLASS_STAR1?   CLASS_STAR   wmin   Starflag  
  EDCSNJ1018577-1208422   10.316018   -12.145046   26.489   99.0     25.049   26.877   99.0     24.931   26.939   99.0     25.749   0       0       0.39    0.64    0.0    0         
  EDCSNJ1018576-1213396   10.315993   -12.227659   24.152   99.0     22.832   23.937   99.0     22.679   23.923   99.0     22.668   0       0       0.96    0.98    0.0    0         
  EDCSNJ1018577-1209457   10.316014   -12.162697   21.656   99.0     20.698   21.597   99.0     20.637   21.591   99.0     20.636   3       3       0.99    0.98    0.0    0         
  EDCSNJ1018576-1213272   10.315995   -12.224217   24.652   99.0     22.542   24.573   99.0     22.23    24.572   99.0     22.11    3       3       0.96    0.9     0.0    0         
  EDCSNJ1018576-1212056   10.316      -12.201569   27.058   99.0     25.04    26.386   99.0     24.884   25.475   99.0     24.787   0       0       0.52    0.71    0.0    0         
  EDCSNJ1018576-1213135   10.315991   -12.220403   25.521   99.0     24.297   25.504   99.0     24.642   25.949   99.0     25.451   0       0       0.71    0.77    0.0    0         
  EDCSNJ1018576-1211178   10.316003   -12.188288   23.457   99.0     22.033   23.265   99.0     21.851   23.265   99.0     21.841   0       0       0.98    0.18    0.0    0         
  EDCSNJ1018576-1209153   10.31601    -12.154243   25.8     99.0     25.02    25.57    99.0     24.796   25.769   99.0     24.601   0       0       0.52    0.48    0.0    0         
  EDCSNJ1018576-1213306   10.315987   -12.225171   22.745   99.0     20.838   22.586   99.0     20.676   22.575   99.0     20.659   3       3       0.98    0.91    0.0    0         
  EDCSNJ1018576-1210431   10.316002   -12.178626   22.052   99.0     20.928   21.817   99.0     20.688   21.777   99.0     20.64    0       0       0.98    0.21    0.0    0         
  EDCSNJ1018576-1209020   10.315994   -12.150551   25.268   99.0     24.413   24.966   99.0     24.002   24.81    99.0     23.822   0       0       0.73    0.39    0.0    0         
  EDCSNJ1018575-1212207   10.315981   -12.205762   26.067   99.0     25.247   26.147   99.0     25.865   26.514   99.0     99.0     0       0       0.42    0.54    0.02   0         
  EDCSNJ1018576-1209413   10.315991   -12.161482   16.649   99.0     15.906   16.001   99.0     15.046   15.953   99.0     14.916   6       6       1.0     0.91    0.0    0         
  EDCSNJ1018575-1211074   10.315985   -12.18539    25.033   99.0     24.351   24.605   99.0     23.897   24.431   99.0     23.794   0       0       0.75    0.05    0.02   0         
  EDCSNJ1018575-1212414   10.315971   -12.21149    26.83    99.0     24.261   26.411   99.0     23.919   25.983   99.0     24.172   0       0       0.39    0.2     0.03   0         
  EDCSNJ1018575-1213201   10.315966   -12.222252   26.313   99.0     24.56    26.144   99.0     23.618   26.0     99.0     23.274   0       0       0.45    0.73    0.02   0         
  EDCSNJ1018575-1210246   10.315962   -12.173508   25.438   99.0     24.953   24.885   99.0     24.724   24.437   99.0     24.411   0       0       0.49    0.54    0.02   0         
  EDCSNJ1018574-1213319   10.315941   -12.225525   24.499   99.0     22.442   23.834   99.0     21.784   23.717   99.0     21.639   3       3       0.01    0.02    0.03   0         
  EDCSNJ1018574-1213463   10.315933   -12.229532   99.0     99.0     25.927   99.0     99.0     99.0     99.0     99.0     99.0     0       0       0.36    0.5     0.03   0         
  EDCSNJ1018573-1212336   10.315926   -12.209347   24.387   99.0     23.802   24.058   99.0     23.778   23.976   99.0     23.949   0       0       0.92    0.15    0.07   0         
