# col1                    col2        col3         col4     col5     col6     col7     col8     col9     col10    col11    col12    col13   col14   col15   col16   wmin   Starflag  
  EDCSNJ1059270-1252406   10.990833   -12.877933   26.752   -999.0   24.965   26.349   -999.0   24.487   25.807   -999.0   24.059   3       3       0.4     0.61    0.0    0         
  EDCSNJ1059272-1255251   10.990882   -12.923629   22.243   -999.0   21.182   21.885   -999.0   20.885   21.819   -999.0   20.856   0       0       0.98    0.95    0.0    0         
  EDCSNJ1059270-1250360   10.990838   -12.843331   25.705   -999.0   25.111   25.694   -999.0   24.738   25.936   -999.0   24.829   0       0       0.48    0.48    0.0    0         
  EDCSNJ1059270-1254189   10.990847   -12.905262   24.394   -999.0   23.277   24.091   -999.0   23.022   23.775   -999.0   22.739   0       0       0.96    0.41    0.0    0         
  EDCSNJ1059271-1254450   10.990856   -12.912511   25.435   -999.0   23.847   25.148   -999.0   23.46    24.69    -999.0   23.277   0       0       0.57    0.09    0.0    0         
  EDCSNJ1059270-1254070   10.990841   -12.901948   24.882   -999.0   22.439   24.621   -999.0   22.189   24.471   -999.0   22.171   0       0       0.92    0.39    0.0    0         
  EDCSNJ1059270-1252429   10.990826   -12.878584   24.274   -999.0   23.026   23.897   -999.0   22.833   23.712   -999.0   22.76    2       2       0.93    0.09    0.0    0         
  EDCSNJ1059272-1255438   10.990886   -12.92882    24.449   -999.0   22.823   24.1     -999.0   22.404   24.163   -999.0   22.378   0       0       0.62    0.01    0.0    0         
  EDCSNJ1059270-1250238   10.990831   -12.839951   23.457   -999.0   21.991   23.184   -999.0   21.654   23.132   -999.0   21.598   0       0       0.94    0.03    0.0    0         
  EDCSNJ1059270-1250485   10.990827   -12.846808   99.0     -999.0   26.451   29.51    -999.0   99.0     27.505   -999.0   99.0     0       0       0.35    0.53    0.0    0         
  EDCSNJ1059270-1251478   10.990822   -12.863287   25.929   -999.0   23.1     25.687   -999.0   22.671   25.502   -999.0   22.542   3       3       0.43    0.02    0.0    0         
  EDCSNJ1059270-1249455   10.990835   -12.829304   25.044   -999.0   23.876   25.075   -999.0   23.978   25.749   -999.0   24.808   0       0       0.86    0.16    0.0    0         
  EDCSNJ1059270-1250556   10.990821   -12.848768   26.164   -999.0   25.394   26.416   -999.0   25.149   26.837   -999.0   25.378   0       0       0.39    0.45    0.0    0         
  EDCSNJ1059271-1255009   10.990849   -12.916903   27.549   -999.0   23.456   26.792   -999.0   23.133   25.717   -999.0   23.242   2       2       0.44    0.92    0.0    0         
  EDCSNJ1059269-1252494   10.990811   -12.880388   22.13    -999.0   20.646   21.776   -999.0   20.303   21.71    -999.0   20.25    0       0       0.91    0.03    0.0    0         
  EDCSNJ1059269-1250020   10.990818   -12.833897   24.107   -999.0   21.765   23.713   -999.0   21.367   23.507   -999.0   21.287   3       3       0.9     0.08    0.0    0         
  EDCSNJ1059272-1256081   10.990886   -12.935575   99.0     -999.0   25.566   27.341   -999.0   99.0     26.147   -999.0   99.0     0       0       0.41    0.55    0.0    0         
  EDCSNJ1059269-1253325   10.990814   -12.892357   24.505   -999.0   23.424   24.214   -999.0   23.366   24.216   -999.0   23.19    0       0       0.95    0.41    0.0    0         
  EDCSNJ1059269-1252146   10.990798   -12.870725   26.638   -999.0   24.585   26.124   -999.0   24.336   27.518   -999.0   24.097   0       0       0.4     0.67    0.0    0         
  EDCSNJ1059269-1253192   10.990803   -12.888656   24.801   -999.0   23.61    24.247   -999.0   23.087   24.034   -999.0   23.1     2       2       0.83    0.08    0.0    0         
  EDCSNJ1059271-1256002   10.990868   -12.933398   25.346   -999.0   24.414   25.234   -999.0   24.421   25.398   -999.0   24.953   0       0       0.54    0.53    0.0    0         
  EDCSNJ1059269-1252542   10.990796   -12.881726   25.768   -999.0   24.17    25.796   -999.0   24.235   25.326   -999.0   23.896   0       0       0.5     0.61    0.0    0         
  EDCSNJ1059269-1249262   10.990809   -12.82395    26.113   -999.0   22.835   26.062   -999.0   22.673   26.411   -999.0   22.689   0       0       0.4     0.9     0.0    0         
  EDCSNJ1059270-1254466   10.990822   -12.912956   25.234   -999.0   24.525   24.876   -999.0   23.936   24.82    -999.0   23.924   0       0       0.53    0.59    0.0    0         
  EDCSNJ1059271-1256098   10.99087    -12.936049   99.0     -999.0   25.787   99.0     -999.0   25.081   99.0     -999.0   99.0     0       0       0.58    0.64    0.0    0         
  EDCSNJ1059268-1252018   10.990784   -12.867176   25.083   -999.0   23.18    24.525   -999.0   22.915   24.388   -999.0   22.788   3       3       0.62    0.84    0.0    0         
  EDCSNJ1059269-1253410   10.990792   -12.894735   23.362   -999.0   20.994   22.806   -999.0   20.561   22.681   -999.0   20.471   2       2       0.1     0.03    0.0    0         
  EDCSNJ1059269-1249364   10.990794   -12.826773   26.277   -999.0   24.331   26.001   -999.0   24.678   26.222   -999.0   24.438   0       0       0.46    0.68    0.0    0         
  EDCSNJ1059270-1255563   10.990844   -12.932304   27.85    -999.0   25.082   99.0     -999.0   26.335   99.0     -999.0   99.0     0       0       0.36    0.53    0.0    0         
  EDCSNJ1059268-1250482   10.990779   -12.84671    25.586   -999.0   24.182   25.084   -999.0   24.131   25.522   -999.0   24.072   0       0       0.53    0.28    0.0    0         
  EDCSNJ1059268-1253176   10.990777   -12.888231   26.428   -999.0   24.372   25.795   -999.0   24.249   25.575   -999.0   26.004   3       3       0.41    0.69    0.0    0         
  EDCSNJ1059268-1249552   10.990784   -12.831994   20.809   -999.0   19.244   19.744   -999.0   18.267   19.256   -999.0   17.843   18      18      0.03    0.03    0.0    0         
  EDCSNJ1059268-1251488   10.990768   -12.863548   24.681   -999.0   22.807   24.094   -999.0   22.319   24.029   -999.0   22.288   3       3       0.27    0.01    0.0    0         
  EDCSNJ1059270-1256096   10.990844   -12.936      99.0     -999.0   26.167   99.0     -999.0   99.0     99.0     -999.0   99.0     0       0       0.4     0.61    0.0    0         
  EDCSNJ1059268-1249198   10.990781   -12.822177   25.606   -999.0   25.451   25.521   -999.0   27.313   25.868   -999.0   99.0     0       0       0.56    0.51    0.0    0         
  EDCSNJ1059270-1255513   10.990828   -12.930903   23.498   -999.0   22.634   22.764   -999.0   22.042   22.69    -999.0   21.96    0       0       0.03    0.01    0.0    0         
  EDCSNJ1059268-1253445   10.990767   -12.895699   25.174   -999.0   23.873   24.683   -999.0   23.333   24.462   -999.0   23.132   3       3       0.6     0.14    0.0    0         
  EDCSNJ1059269-1255050   10.990794   -12.918052   26.072   -999.0   24.95    25.362   -999.0   26.292   25.197   -999.0   99.0     0       0       0.42    0.5     0.0    0         
  EDCSNJ1059268-1254209   10.990773   -12.905796   25.183   -999.0   24.259   24.561   -999.0   23.955   24.38    -999.0   24.061   0       0       0.64    0.79    0.0    0         
