# col1                    col2        col3         col4     col5     col6     col7     col8     col9     col10    col11    col12    col13   col14   col15   col16   col17   col18   wmin   Starflag  
  EDCSNJ1104002-1248394   11.066731   -12.810933   25.958   26.451   25.362   25.88    99.0     26.412   26.686   99.0     26.65    0       0       0       0.57    0.88    0.67    0.0    0         
  EDCSNJ1104002-1248593   11.066728   -12.816476   27.73    26.285   25.605   28.779   99.0     26.177   28.872   99.0     99.0     0       0       0       0.41    0.84    0.68    0.0    0         
  EDCSNJ1104002-1243516   11.066725   -12.731001   24.463   24.251   23.914   24.241   24.008   23.797   24.144   23.957   24.075   3       3       3       0.98    0.98    0.98    0.01   0         
  EDCSNJ1104003-1246563   11.066739   -12.782298   29.451   26.449   25.234   27.179   29.199   24.982   27.482   99.0     25.09    0       0       0       0.48    0.55    0.79    0.01   0         
  EDCSNJ1104001-1242350   11.066704   -12.709718   25.916   25.995   25.53    25.661   99.0     99.0     25.204   99.0     99.0     0       0       0       0.76    0.83    0.64    0.0    0         
  EDCSNJ1104002-1245363   11.066732   -12.760085   27.419   26.584   25.28    99.0     27.604   25.211   28.367   99.0     24.552   0       0       0       0.5     0.73    0.72    0.01   0         
  EDCSNJ1104002-1244460   11.066727   -12.7461     20.186   19.428   18.242   20.006   19.233   18.032   19.97    19.192   17.979   18      18      18      0.97    0.98    0.98    0.01   0         
  EDCSNJ1104002-1248334   11.066723   -12.809274   25.387   25.167   24.594   25.341   26.165   25.14    25.854   99.0     99.0     0       0       0       0.11    0.25    0.62    0.0    0         
  EDCSNJ1104002-1245470   11.066727   -12.763044   24.13    23.677   22.936   23.875   23.505   22.721   23.779   23.475   22.67    0       0       0       0.95    0.97    0.98    0.01   0         
  EDCSNJ1104001-1243232   11.066708   -12.723115   25.513   24.882   99.0     25.522   25.024   99.0     27.434   99.0     99.0     0       0       0       0.74    0.78    0.74    0.01   0         
  EDCSNJ1104002-1246589   11.066726   -12.783027   27.812   28.873   25.763   27.162   99.0     25.631   28.279   99.0     25.769   0       0       0       0.36    0.35    0.49    0.01   0         
  EDCSNJ1104002-1247118   11.066725   -12.786614   99.0     99.0     26.367   29.491   99.0     26.447   99.0     99.0     27.82    0       0       0       0.36    0.02    0.51    0.01   0         
  EDCSNJ1104002-1243573   11.066712   -12.732585   24.074   23.904   23.172   23.659   23.547   22.951   23.526   23.537   23.07    3       3       3       0.25    0.04    0.68    0.01   0         
  EDCSNJ1104001-1242304   11.066691   -12.708443   99.0     27.933   26.906   99.0     28.045   99.0     99.0     99.0     99.0     0       0       0       0.66    0.65    0.7     0.0    0         
  EDCSNJ1104002-1247033   11.066723   -12.784245   25.454   25.229   24.708   25.111   25.439   24.779   25.284   26.587   25.345   0       0       0       0.9     0.63    0.93    0.01   0         
  EDCSNJ1104001-1242319   11.066689   -12.708849   99.0     99.0     25.635   99.0     99.0     99.0     99.0     99.0     99.0     0       0       0       0.67    0.65    0.92    0.0    0         
  EDCSNJ1104001-1244027   11.066708   -12.734082   25.759   25.821   25.727   25.577   27.016   99.0     25.104   99.0     99.0     0       0       0       0.49    0.9     0.81    0.01   0         
  EDCSNJ1104002-1248032   11.066715   -12.800881   24.479   24.205   23.795   24.227   24.163   23.522   24.267   24.308   23.363   0       0       0       0.94    0.98    0.98    0.0    0         
  EDCSNJ1104002-1245409   11.066717   -12.761367   24.083   22.931   21.018   23.784   22.75    20.863   23.726   22.747   20.839   0       0       0       0.93    0.98    0.98    0.01   0         
  EDCSNJ1104002-1247314   11.066715   -12.792046   25.279   24.749   24.177   24.814   24.251   23.461   24.68    24.121   23.574   2       2       2       0.21    0.03    0.56    0.01   0         
  EDCSNJ1104001-1243527   11.066701   -12.731306   25.222   24.922   24.277   24.594   24.626   23.577   24.344   24.457   23.732   3       3       3       0.01    0.02    0.03    0.01   0         
  EDCSNJ1104001-1243540   11.0667     -12.73166    26.144   26.18    25.654   25.349   25.291   24.956   24.683   25.028   24.988   3       3       3       0.47    0.42    0.64    0.01   0         
  EDCSNJ1104001-1245512   11.066708   -12.76421    26.026   25.639   24.76    25.882   25.273   24.716   25.749   25.631   24.937   0       0       0       0.76    0.73    0.95    0.01   0         
  EDCSNJ1104001-1247517   11.066705   -12.797691   23.83    23.101   22.349   23.55    22.868   22.136   23.449   22.823   22.087   0       0       0       0.18    0.88    0.98    0.0    0         
  EDCSNJ1104000-1242455   11.066678   -12.712634   25.818   25.399   25.882   24.957   25.491   99.0     24.175   27.909   99.0     0       0       0       0.55    0.92    0.87    0.0    0         
  EDCSNJ1104001-1245439   11.066704   -12.762181   25.053   24.699   24.094   24.707   24.516   23.756   24.512   24.111   23.509   0       0       0       0.67    0.94    0.97    0.01   0         
  EDCSNJ1104001-1249244   11.066688   -12.82345    24.156   23.512   22.7     24.156   23.435   22.57    24.619   23.788   22.73    0       0       0       0.98    0.98    0.98    0.0    0         
  EDCSNJ1104001-1248465   11.066693   -12.812925   25.871   99.0     24.746   25.584   99.0     24.329   25.877   99.0     24.307   0       0       0       0.63    0.42    0.89    0.0    0         
  EDCSNJ1104000-1243555   11.066679   -12.73207    25.659   25.38    24.356   25.057   25.012   24.544   24.527   24.953   25.96    3       3       3       0.07    0.12    0.01    0.01   0         
  EDCSNJ1104001-1248086   11.066687   -12.802378   26.353   26.924   26.092   25.661   99.0     26.979   25.63    99.0     99.0     0       0       0       0.43    0.66    0.58    0.0    0         
  EDCSNJ1104000-1243141   11.06667    -12.720594   24.737   24.227   23.995   24.845   24.305   99.0     25.426   99.0     99.0     0       0       0       0.93    0.14    0.97    0.01   0         
  EDCSNJ1104000-1244251   11.06668    -12.740311   23.647   23.08    22.531   23.258   22.74    22.261   23.096   22.696   22.45    19      19      19      0.03    0.03    0.33    0.01   0         
  EDCSNJ1104001-1245204   11.066681   -12.755667   25.901   25.557   24.96    25.702   25.762   25.196   25.75    25.639   25.772   0       0       0       0.74    0.92    0.9     0.01   0         
  EDCSNJ1104000-1247179   11.066679   -12.788305   25.06    24.473   23.599   24.702   24.204   23.255   24.621   24.224   23.232   0       0       0       0.2     0.03    0.06    0.01   0         
  EDCSNJ1103599-1242595   11.066647   -12.716532   28.043   27.313   99.0     27.841   28.752   99.0     26.83    99.0     99.0     0       0       0       0.38    0.55    0.46    0.01   0         
  EDCSNJ1103599-1242490   11.066644   -12.713608   23.888   23.379   22.469   23.295   22.943   22.206   23.182   23.036   22.623   0       0       0       0.03    0.06    0.2     0.01   0         
  EDCSNJ1104000-1247386   11.066667   -12.794043   23.474   23.091   22.619   22.812   22.475   22.041   22.657   22.354   21.936   0       0       0       0.03    0.03    0.03    0.01   0         
  EDCSNJ1103599-1242309   11.066634   -12.70857    99.0     27.249   99.0     99.0     26.202   99.0     99.0     25.844   99.0     0       0       0       0.55    0.6     0.7     0.0    0         
  EDCSNJ1103600-1245246   11.066662   -12.756835   24.387   23.917   23.357   24.036   23.51    23.011   24.05    23.526   23.027   0       0       0       0.02    0.04    0.04    0.01   0         
  EDCSNJ1103599-1248037   11.066652   -12.801015   26.935   26.293   25.791   26.113   26.417   25.163   25.745   29.003   24.924   0       0       0       0.36    0.63    0.52    0.0    0         
  EDCSNJ1103600-1247021   11.066655   -12.783922   27.267   26.903   25.571   26.673   99.0     25.482   27.287   99.0     26.89    0       0       0       0.43    0.59    0.54    0.01   0         
  EDCSNJ1103599-1244216   11.06664    -12.739325   23.624   23.316   22.724   23.004   22.828   22.172   22.882   22.806   22.186   3       3       3       0.03    0.03    0.03    0.01   0         
  EDCSNJ1103599-1244512   11.066644   -12.747554   25.167   24.849   24.01    24.564   24.385   23.222   24.197   24.328   22.853   3       3       3       0.41    0.96    0.2     0.01   0         
  EDCSNJ1103599-1249191   11.066633   -12.821986   27.742   25.804   25.474   99.0     26.017   25.705   99.0     26.861   26.938   3       3       3       0.48    0.62    0.56    0.0    0         
  EDCSNJ1103599-1246494   11.066646   -12.7804     24.444   23.795   22.974   24.069   23.46    22.702   24.028   23.485   22.756   0       0       0       0.41    0.53    0.98    0.01   0         
  EDCSNJ1103599-1245000   11.066642   -12.750011   26.322   26.157   25.272   25.32    25.932   24.598   24.762   25.568   23.642   0       0       0       0.44    0.53    0.72    0.01   0         
  EDCSNJ1103599-1244181   11.066636   -12.738364   28.022   99.0     25.079   99.0     99.0     99.0     99.0     99.0     99.0     3       3       3       0.48    0.52    0.96    0.01   0         
  EDCSNJ1103599-1245053   11.066641   -12.751465   20.112   19.54    19.002   19.918   19.376   18.856   19.887   19.349   18.821   2       2       2       0.99    0.99    0.99    0.01   0         
  EDCSNJ1103599-1245319   11.06664    -12.758853   25.823   25.509   25.01    25.486   25.262   25.091   25.809   25.943   25.069   0       0       0       0.72    0.63    0.9     0.01   0         
  EDCSNJ1103599-1247472   11.066637   -12.796438   26.674   26.523   25.64    26.056   26.069   25.6     25.853   25.89    26.156   0       0       0       0.43    0.45    0.5     0.0    0         
  EDCSNJ1103598-1243551   11.066618   -12.731978   24.624   24.354   24.106   24.278   24.105   24.279   24.106   24.185   99.0     0       0       0       0.97    0.98    0.96    0.01   0         
  EDCSNJ1103598-1243296   11.066613   -12.724882   23.733   23.595   22.913   23.525   23.822   22.922   23.514   24.593   23.635   0       0       0       0.98    0.98    0.98    0.01   0         
  EDCSNJ1103598-1249196   11.066616   -12.822115   25.735   25.146   24.883   25.83    24.827   24.569   27.652   25.295   25.151   2       2       2       0.58    0.9     0.89    0.0    0         
  EDCSNJ1103598-1244194   11.066618   -12.738723   25.639   25.268   23.788   25.04    25.272   23.53    25.016   99.0     23.978   3       3       3       0.09    0.95    0.44    0.01   0         
  EDCSNJ1103597-1242333   11.066594   -12.709262   26.547   25.426   99.0     99.0     25.266   99.0     99.0     24.944   99.0     0       0       0       0.68    0.74    0.66    0.0    0         
  EDCSNJ1103599-1246148   11.066626   -12.770773   25.433   25.211   24.858   25.185   24.99    24.852   25.154   24.982   24.836   0       0       0       0.94    0.95    0.87    0.01   0         
  EDCSNJ1103599-1246227   11.066626   -12.772976   26.131   25.576   25.118   25.633   25.424   24.754   25.963   25.028   24.49    0       0       0       0.53    0.92    0.61    0.01   0         
  EDCSNJ1103598-1244023   11.066613   -12.733966   23.655   22.821   21.952   23.001   22.196   21.51    22.897   22.217   21.641   0       0       0       0.03    0.03    0.12    0.01   0         
  EDCSNJ1103598-1246532   11.066623   -12.781449   27.262   26.939   25.555   99.0     27.47    25.269   26.249   25.736   24.687   0       0       0       0.43    0.43    0.52    0.01   0         
  EDCSNJ1103598-1247563   11.066617   -12.798966   26.798   26.157   25.643   26.228   25.643   26.68    26.262   25.299   26.565   0       0       0       0.38    0.51    0.52    0.0    0         
  EDCSNJ1103598-1248310   11.066608   -12.808617   25.387   25.149   24.816   25.065   24.892   24.819   25.544   24.864   25.141   3       3       3       0.7     0.94    0.88    0.0    0         
  EDCSNJ1103598-1245112   11.066612   -12.753099   26.017   26.438   25.15    25.826   25.98    24.983   25.775   25.575   24.398   0       0       0       0.5     0.47    0.86    0.01   0         
  EDCSNJ1103597-1242427   11.066584   -12.711871   25.873   26.087   25.352   25.064   99.0     99.0     24.484   99.0     99.0     0       0       0       0.67    0.86    0.81    0.0    0         
  EDCSNJ1103597-1242562   11.066586   -12.715616   25.369   25.608   26.11    25.183   99.0     99.0     24.713   99.0     99.0     0       0       0       0.78    0.84    0.69    0.01   0         
  EDCSNJ1103597-1243459   11.066597   -12.729405   25.474   24.881   24.442   24.821   24.208   25.271   25.002   24.205   99.0     0       0       0       0.7     0.94    0.36    0.01   0         
  EDCSNJ1103598-1245218   11.066603   -12.756067   27.489   26.394   25.873   99.0     26.639   99.0     99.0     25.669   26.908   0       0       0       0.49    0.61    0.52    0.01   0         
  EDCSNJ1103598-1247532   11.066601   -12.798108   26.091   25.802   25.291   25.996   25.314   24.998   26.089   24.931   24.884   0       0       0       0.49    0.84    0.71    0.0    0         
  EDCSNJ1103597-1248538   11.066592   -12.814938   26.631   26.439   25.732   29.118   26.682   26.099   99.0     99.0     25.899   0       0       0       0.36    0.63    0.54    0.0    0         
  EDCSNJ1103597-1244480   11.066597   -12.746656   27.247   26.994   25.485   27.17    25.752   24.262   26.803   25.374   23.627   0       0       0       0.49    0.38    0.54    0.01   0         
  EDCSNJ1103597-1243546   11.066587   -12.731844   25.891   25.723   25.692   25.668   25.689   99.0     25.416   27.593   99.0     0       0       0       0.48    0.69    0.54    0.01   0         
  EDCSNJ1103597-1248413   11.06659    -12.811484   18.713   18.312   17.824   18.509   18.139   17.671   18.48    18.111   17.643   0       0       0       1.0     1.0     1.0     0.0    0         
  EDCSNJ1103597-1245181   11.066593   -12.755028   25.106   24.586   23.946   24.609   24.074   23.35    24.609   23.966   23.362   2       2       2       0.18    0.37    0.59    0.01   0         
  EDCSNJ1103597-1243095   11.066573   -12.719312   99.0     27.413   25.337   99.0     99.0     99.0     99.0     99.0     99.0     0       0       0       0.39    0.36    0.75    0.01   0         
  EDCSNJ1103597-1243042   11.066571   -12.717821   26.694   99.0     26.493   99.0     99.0     99.0     99.0     99.0     99.0     0       0       0       0.37    0.53    0.63    0.01   0         
  EDCSNJ1103597-1243131   11.066572   -12.720293   24.827   24.415   23.965   24.827   24.425   23.889   25.1     25.072   25.648   0       0       0       0.97    0.98    0.97    0.01   0         
  EDCSNJ1103597-1246326   11.066594   -12.775717   25.507   24.966   24.448   25.528   24.859   24.578   25.854   24.888   25.381   0       0       0       0.96    0.96    0.95    0.01   0         
  EDCSNJ1103597-1243169   11.06657    -12.721366   26.094   25.567   24.846   25.841   25.401   24.682   25.652   25.499   25.852   0       0       0       0.68    0.82    0.87    0.01   0         
  EDCSNJ1103597-1248298   11.066581   -12.808275   22.91    22.248   22.254   22.677   22.057   22.079   22.656   22.034   22.053   2       2       2       0.98    0.98    0.98    0.0    0         
  EDCSNJ1103597-1243388   11.066572   -12.72745    25.477   24.323   22.693   25.409   24.654   22.839   25.691   28.134   23.799   0       0       0       0.6     0.98    0.99    0.01   0         
  EDCSNJ1103596-1242590   11.066562   -12.716398   25.132   24.677   23.978   24.647   25.12    24.218   24.303   27.055   99.0     0       0       0       0.76    0.97    0.97    0.01   0         
  EDCSNJ1103597-1244566   11.066577   -12.749049   26.236   26.03    25.538   26.265   26.276   25.166   26.119   26.136   24.819   0       0       0       0.54    0.83    0.61    0.01   0         
  EDCSNJ1103596-1249335   11.066562   -12.825972   99.0     99.0     26.215   99.0     99.0     99.0     99.0     99.0     28.265   0       0       0       0.35    0.02    0.55    0.0    0         
  EDCSNJ1103597-1244429   11.066572   -12.745239   26.953   25.85    24.806   26.128   25.472   24.287   25.638   25.434   23.674   0       0       0       0.47    0.91    0.93    0.01   0         
  EDCSNJ1103596-1244169   11.066568   -12.738021   25.401   24.954   24.361   25.038   24.525   23.919   24.914   24.595   23.72    0       0       0       0.16    0.81    0.32    0.01   0         
  EDCSNJ1103597-1248001   11.066573   -12.800036   24.972   24.306   23.846   24.77    24.132   23.806   24.795   24.178   23.968   0       0       0       0.9     0.98    0.97    0.0    0         
  EDCSNJ1103597-1245561   11.066572   -12.765593   27.268   26.057   25.344   26.33    25.639   24.742   25.866   25.951   24.997   0       0       0       0.38    0.56    0.54    0.01   0         
  EDCSNJ1103597-1247009   11.066572   -12.783575   26.97    26.476   25.623   27.246   26.387   26.135   26.286   26.267   25.887   0       0       0       0.38    0.35    0.61    0.01   0         
  EDCSNJ1103596-1245371   11.066567   -12.760314   26.054   25.694   25.515   26.299   25.896   25.833   26.41    25.93    25.882   0       0       0       0.83    0.93    0.58    0.01   0         
  EDCSNJ1103596-1244487   11.066561   -12.746871   26.364   26.14    25.223   26.741   25.82    24.774   27.355   25.885   24.663   0       0       0       0.54    0.78    0.58    0.01   0         
  EDCSNJ1103596-1249291   11.066549   -12.824741   25.495   24.767   24.493   25.443   24.684   24.678   28.779   25.355   25.005   1       1       1       0.91    0.96    0.95    0.0    0         
  EDCSNJ1103596-1247071   11.066562   -12.785293   24.363   23.405   22.587   24.269   23.269   22.479   24.334   23.279   22.453   0       0       0       0.98    0.98    0.98    0.01   0         
  EDCSNJ1103596-1243569   11.066546   -12.73246    23.965   23.424   22.747   23.828   23.456   23.064   23.87    23.746   24.286   0       0       0       0.98    0.98    0.98    0.01   0         
  EDCSNJ1103596-1247146   11.066553   -12.787394   25.954   25.445   24.961   25.804   25.331   24.892   26.264   25.619   24.721   0       0       0       0.74    0.93    0.87    0.01   0         
  EDCSNJ1103595-1243091   11.066531   -12.719199   24.818   24.313   23.963   24.607   23.976   23.68    24.58    23.957   23.699   0       0       0       0.9     0.94    0.94    0.01   0         
  EDCSNJ1103595-1244009   11.06654    -12.733576   23.583   23.168   22.445   23.354   23.125   22.444   23.268   23.241   22.739   3       3       3       0.98    0.98    0.98    0.01   0         
  EDCSNJ1103596-1244229   11.066543   -12.739694   25.245   24.936   24.504   25.193   24.741   24.102   24.931   24.579   23.72    0       0       0       0.92    0.97    0.97    0.01   0         
  EDCSNJ1103595-1248515   11.066536   -12.814308   26.341   25.938   25.456   26.238   25.811   25.307   26.582   26.099   25.641   0       0       0       0.36    0.66    0.53    0.0    0         
  EDCSNJ1103595-1249244   11.066528   -12.823448   25.854   25.129   24.939   25.658   24.999   24.837   25.731   25.125   24.866   3       3       3       0.42    0.92    0.71    0.0    0         
  EDCSNJ1103595-1248084   11.066538   -12.802344   25.639   25.219   23.948   25.468   25.164   23.84    25.344   24.927   23.668   0       0       0       0.46    0.95    0.97    0.0    0         
  EDCSNJ1103595-1248568   11.066528   -12.815789   26.4     26.165   25.29    25.93    25.95    24.941   26.623   31.477   25.633   0       0       0       0.38    0.6     0.49    0.0    0         
  EDCSNJ1103595-1244448   11.06653    -12.745783   25.622   25.348   24.511   25.356   24.996   24.202   25.285   24.775   24.047   0       0       0       0.4     0.82    0.89    0.01   0         
  EDCSNJ1103595-1245398   11.066534   -12.761061   25.997   25.706   24.982   25.678   25.648   25.08    25.395   25.215   24.646   0       0       0       0.72    0.91    0.94    0.01   0         
  EDCSNJ1103594-1242522   11.066508   -12.714508   26.963   26.679   25.725   27.16    99.0     27.095   27.41    99.0     99.0     0       0       0       0.41    0.62    0.53    0.01   0         
  EDCSNJ1103595-1244203   11.066521   -12.738983   26.328   25.703   24.993   26.402   25.296   24.607   25.923   25.091   23.937   0       0       0       0.65    0.88    0.86    0.01   0         
  EDCSNJ1103595-1246050   11.066529   -12.768054   24.154   23.606   22.981   23.851   23.398   22.808   23.747   23.34    22.714   2       2       2       0.96    0.97    0.98    0.01   0         
  EDCSNJ1103595-1248202   11.066522   -12.805607   26.477   26.333   25.832   26.313   26.987   25.833   26.708   26.34    25.41    0       0       0       0.53    0.7     0.51    0.0    0         
  EDCSNJ1103594-1243532   11.066512   -12.731443   24.947   24.649   23.895   24.882   25.366   25.877   25.121   99.0     99.0     0       0       0       0.97    0.98    0.97    0.01   0         
  EDCSNJ1103594-1242306   11.066492   -12.708509   26.558   25.99    26.104   25.16    25.652   25.954   24.916   24.916   26.288   0       0       0       0.66    0.46    0.58    0.0    0         
  EDCSNJ1103595-1245244   11.066521   -12.756773   25.159   24.842   24.488   24.909   24.701   24.218   24.885   24.566   24.179   0       0       0       0.97    0.98    0.95    0.01   0         
  EDCSNJ1103594-1249292   11.066506   -12.824768   24.416   23.667   23.017   24.312   23.581   22.951   24.569   23.657   23.043   0       0       0       0.82    0.98    0.98    0.0    0         
  EDCSNJ1103595-1246072   11.06652    -12.768671   24.535   24.327   24.045   24.22    23.991   23.779   23.949   23.788   23.647   3       3       3       0.94    0.94    0.97    0.01   0         
  EDCSNJ1103595-1247425   11.066517   -12.795142   23.207   22.814   22.371   22.856   22.476   22.022   22.811   22.442   21.966   0       0       0       0.06    0.07    0.78    0.0    0         
  EDCSNJ1103594-1243300   11.066502   -12.724994   25.379   24.703   24.277   24.815   24.28    23.915   24.71    24.27    24.353   0       0       0       0.68    0.81    0.96    0.01   0         
  EDCSNJ1103594-1248324   11.066509   -12.808997   28.351   26.459   25.533   28.3     26.089   25.687   26.888   25.531   25.496   0       0       0       0.35    0.35    0.51    0.0    0         
  EDCSNJ1103594-1244002   11.066504   -12.733379   26.845   26.016   24.647   26.061   25.368   24.389   25.452   24.939   24.323   3       3       3       0.43    0.61    0.96    0.01   0         
  EDCSNJ1103594-1246305   11.066512   -12.775129   26.102   25.578   25.289   25.557   25.191   25.046   25.606   24.934   24.784   0       0       0       0.48    0.89    0.62    0.01   0         
  EDCSNJ1103594-1243150   11.066488   -12.72083    26.273   25.448   25.044   26.201   25.387   24.83    26.162   25.314   24.767   0       0       0       0.42    0.95    0.69    0.01   0         
  EDCSNJ1103594-1249235   11.066493   -12.823203   24.758   24.316   23.562   24.6     24.084   23.218   24.42    23.964   23.139   2       2       2       0.94    0.97    0.97    0.0    0         
  EDCSNJ1103593-1242542   11.066479   -12.715048   27.104   26.557   25.445   27.126   26.194   25.227   27.405   27.24    25.18    0       0       0       0.36    0.36    0.59    0.01   0         
  EDCSNJ1103594-1246088   11.066504   -12.769118   25.034   24.716   24.543   24.627   24.404   24.123   24.29    24.145   23.81    3       3       3       0.9     0.93    0.96    0.01   0         
  EDCSNJ1103593-1243206   11.066481   -12.722376   27.649   27.223   25.72    99.0     27.869   27.704   27.912   27.134   26.355   0       0       0       0.36    0.36    0.61    0.01   0         
  EDCSNJ1103593-1242317   11.066465   -12.708799   28.025   32.285   25.872   26.165   26.817   25.214   25.415   24.899   24.976   0       0       0       0.38    0.56    0.61    0.0    0         
  EDCSNJ1103593-1243071   11.066472   -12.718637   25.756   25.34    24.944   25.124   25.005   24.633   24.816   24.774   24.384   0       0       0       0.37    0.95    0.91    0.01   0         
  EDCSNJ1103594-1247020   11.066493   -12.783889   25.526   25.188   24.989   25.193   25.131   24.91    25.001   25.457   24.925   0       0       0       0.71    0.96    0.87    0.01   0         
